No.;Soal;;Pilihan Ganda;;;;Jawaban Benar;;;;
1;Perhatikan gambar berikut!;;A. Herbivora;B. Karnivora;C. Omnivora;D. Insektivora;B. Karnivora;Jumlah Jawaban Benar                                                ;;;
;;;;;;;;Jumlah a = 9;Jumlah b = 9;Jumlah c = 10;Jumlah d = 9
;Apa jenis hewan pada gambar di atas?;;;;;;;;;;
2;Perhatikan gambar berikut!;;A. Hewan hidup di air dan danau;B.  Hewan tidak memiliki tulang belakang;C.  Hewan memiliki tulang belakang;D. Hewan memiliki bulu halus;B.  Hewan tidak memiliki tulang belakang;;;;
;;;;;;;;;;;
;Hewan ini termasuk kelompok invertebrata karena?;;;;;;;;;;
3;Gambar berikut menunjukkan hewan yang memiliki kaki beruas.;;A. Mamalia;B. Amfibi;C. Serangga;D. Arthropoda ;D. Arthropoda ;;;;
;;;;;;;;;;;
;Hewan laba-laba ini tergolong hewan apakah?;;;;;;;;;;
4;Perhatikan gambar berikut!;;A. Untuk mencengkram;B. Untuk menghisap darah;C. Untuk menghancurkan biji-bijian;D. Untuk berenang;C. Untuk menghancurkan biji-bijian;;;;
;;;;;;;;;;;
;Apa fungsi dari paruh burung seperti pada gambar berikut?;;;;;;;;;;
5;Gambar berikut adalah hewan pemakan tumbuhan;;A. Herbivora;B. Omnivora;C. Karnivora;D. Insektivora;A. Herbivora;;;;
;;;;;;;;;;;
;Kelinci tergolong sebagai hewan?;;;;;;;;;;
6;Mengapa ikan tidak memiliki kaki seperti kucing?;;A. Karena ikan bertulang belakang berenang menggunakan sirip;B. Ikan hidup di darat karena memiliki sirip;C. Karena kucing suka air dan berenang menggunakan sirip;D. Karena ikan hidup di air dan berenang menggunakan sirip;D. Karena ikan hidup di air dan berenang menggunakan sirip;;;;
;;;;;;;;;;;
;;;;;;;;;;;
7;Perhatikan gambar berikut;;A. Membutuhkan waktu lama untuk tumbuh dan berkembang biak;B. Melahirkan satu anak dalam lima tahun;C. Bertelur dalam jumlah sangat banyak 150 telur dan membutuhkan waktu 2 minggu untuk dewasa;D. Hidup di dalam tanah membutuhkan waktu 2 minggu menghasilkan 150 telur;C. Bertelur dalam jumlah sangat banyak 150 telur dan membutuhkan waktu 2 minggu untuk dewasa;;;;
;;;;;;;;;;;
;Apa ciri khusus yang dimiliki lalat dalam berkembang biak?;;;;;;;;;;
8;Perhatikan gambar berikut;;A. 2 tahun;B. 9 bulan;C. 1 tahun;D. 3 minggu;A. 2 tahun;;;;
;;;;;;;;;;;
;Gajah dewasa berumur sekitar 15 tahun, mengandung selama 2 tahun dan hanya menghasilkan 1 anak. Berapa lama induk gajah mengandung anaknya?;;;;;;;;;;
9;Perhatikan gambar berikut;;A. Bertunas;B. Membelah diri;C. Bertelur;D. Melahirkan anak;C. Bertelur;;;;
;;;;;;;;;;;
;Kupu-kupu membutuhkan waktu sekitar 4 minggu untuk dewasa dan menghasilkan ratusan telur.Kupu-kupu berkembang biak dengan cara?;;;;;;;;;;
10;Perhatikan gambar berikut;;A. Metamorfosis sempurna hanya memiliki 2 tahap.;B. Metamorfosis sempurna memiliki tahap telur, larva, pupa, dan dewasa.;C. Metamorfosis tidak sempurna memiliki tahap larva dan pupa.;D. Semua hewan mengalami metamorfosis sempurna.;B. Metamorfosis sempurna memiliki tahap telur, larva, pupa, dan dewasa.;;;;
;;;;;;;;;;;
;Gambar menunjukkan dua jenis metamorfosis pada hewan. Manakah pernyataan berikut yang benar berdasarkan gambar?;;;;;;;;;;
11;Perhatikan gambar berikut;;A. 1 minggu;B. 1 bulan;C. 2 bulan;D. 3 bulan;D. 3 bulan;;;;
;;;;;;;;;;;
;Berapa lama waktu yang dibutuhkan padi untuk siap panen?;;;;;;;;;;
12;Perhatikan gambar berbagai jenis ekosistem berikut! ;;A. Danau;B. Gurun;C. Hutan;D. Padang rumput;A. Danau;;;;
;;;;;;;;;;;
;Hewan seperti ikan dan katak paling cocok hidup di ekosistem?;;;;;;;;;;
13;Pada gambar ekosistem gurun terlihat adanya tumbuhan dan hewan tertentu.;;A. Banyak air dan tumbuhan hijau;B. Hanya dihuni hewan laut;C. Kering, panas, dan ditumbuhi kaktus ;D. Terdapat singa dan zebra;C. Kering, panas, dan ditumbuhi kaktus ;;;;
;;;;;;;;;;;
;Apa ciri khas dari ekosistem gurun?;;;;;;;;;;
14;Perhatikan gambar ekosistem laut yang berisi berbagai hewan seperti kura-kura, ikan hiu, dan ubur-ubur.;;A. Paru-paru;B. Insang ;C. Trakea;D. Kulit;B. Insang ;;;;
;;;;;;;;;;;
;Hewan-hewan pada ekosistem laut bernapas menggunakan?;;;;;;;;;;
15;Pada gambar ekosistem hutan terdapat berbagai hewan seperti harimau dan rusa.;;A. Tempat menyimpan air laut;B. Tempat berburu manusia;C. Tempat menyimpan air laut;D. Tempat berlindung dan mencari makanan;D. Tempat berlindung dan mencari makanan;;;;
;;;;;;;;;;;
;Apa manfaat hutan sebagai ekosistem bagi hewan?;;;;;;;;;;
16;Perhatikan gambar rantai makanan berikut ini!;;A. Padi;B. Tikus;C. Ular;D. Elang;B. Tikus;;;;
;;;;;;;;;;;
;Makhluk hidup manakah yang berperan sebagai konsumen I...;;;;;;;;;;
17;Perhatikan gambar berikut!;;A. Air;B. Listrik;C. Matahari;D. Angin;C. Matahari;;;;
;;;;;;;;;;;
;Apa sumber energi utama bagi kehidupan di bumi?;;;;;;;;;;
18;Perhatikan gambar berikut!;;A. Energi gerak;B. Energi listrik;C. Energi cahaya;D. Energi panas;A. Energi gerak;;;;
;;;;;;;;;;;
;Energi yang digunakan saat anak bermain adalah…;;;;;;;;;;
19;Perhatikan gambar berikut!;;A. Cahaya;B. Bunyi;C. Listrik;D. Gerak;C. Listrik;;;;
;;;;;;;;;;;
;Alat pada gambar tersebut menggunakan energi…;;;;;;;;;;
20;Perhatikan gambar berikut!;;A. Energi cahaya;B. Energi panas;C. Energi gerak;D. Energi bunyi;B. Energi panas;;;;
;;;;;;;;;;;
;Energi apa yang dihasilkan saat memasak?;;;;;;;;;;
21;Perhatikan gambar berikut!;;A. Energi terbarukan ramah lingkungan;B. Energi tidak terbarukan  batubara;"C. Energi kimia
";D. Energi bahan bakar dari bensin;A. Energi terbarukan ramah lingkungan;;;;
;;;;;;;;;;;
;Sumber energi pada gambar tersebut termasuk …;;;;;;;;;;
22;Perhatikan gambar berikut!;;A. Energi cahaya;B. Energi panas;C. Energi bunyi ;D. Energi gerak;C. Energi bunyi ;;;;
;;;;;;;;;;;
;Benda pada gambar menghasilkan …;;;;;;;;;;
23;Perhatikan gambar berikut!;;A. Energi listrik menjadi gerak;B. Energi kimia menjadi panas;C. Energi angin menjadi gerak;D.  Energi listrik menjadi cahaya;D.  Energi listrik menjadi cahaya;;;;
;;;;;;;;;;;
;Saat lampu menyala, energi listrik berubah menjadi …;;;;;;;;;;
24;Perhatikan denah sekolah berikut ini!;;A. Kantin;B. Gedung ruang kelas 1–3;C. Ruang kantor dan ruang kepala sekolah;"D. Kamar mandi

";C. Ruang kantor dan ruang kepala sekolah;;;;
;;;;;;;;;;;
;Jika kamu berdiri di pintu gerbang dan berjalan lurus lalu ke arah utara, maka kamu akan sampai di …;;;;;;;;;;
25;Perhatikan denah lingkungan rumah dan sekolah berikut ini!;;A. Terminal Bus;B. Taman;C. Toko Buah;D. Sekolah;B. Taman;;;;
;;;;;;;;;;;
;Tempat umum yang terletak paling dekat dengan rumah Pak RT adalah …;;;;;;;;;;
26;Perhatikan denah lingkungan rumah Ian, Aga, dan Mia berikut ini!;;A. Jl. Kemuning;B. Jl. Melati;C. Jl. Anggrek;D. Jl. Kenanga;A. Jl. Kemuning;;;;
;;;;;;;;;;;
;Berdasarkan denah, rumah Ian terletak di Jl...;;;;;;;;;;
27;Perhatikan gambar berikut!;;A. Lurah atau Kepala Desa;B. Gubernur;C. Presiden;D. Camat;A. Lurah atau Kepala Desa;;;;
;;;;;;;;;;;
;Siapakah pemimpin di tingkat kelurahan atau desa?;;;;;;;;;;
28;Perhatikan gambar berikut!;;A. Bermain;B. Berdagang;C. Belajar;D. Kerja bakti ;D. Kerja bakti ;;;;
;;;;;;;;;;;
;Gambar berikut adalah contoh kegiatan …;;;;;;;;;;
29;Setiap provinsi dipimpin oleh seorang gubernur yang dipilih oleh rakyat. Siapakah pemimpin tertinggi di tingkat provinsi?;;A. Camat;B. Bupati;C. Wali kota;D. Gubernur ;D. Gubernur ;;;;
;;;;;;;;;;;
;;;;;;;;;;;
30;Perhatikan gambar rumah adat berikut ini!;;A. Bali;B. Sumatera Barat;C. Kalimantan Timur;D. Sulawesi Selatan;B. Sumatera Barat;;;;
;;;;;;;;;;;
;Rumah Gadang pada gambar tersebut merupakan rumah adat yang berasal dari …;;;;;;;;;;
31;Perhatikan gambar tradisi berikut ini!;;A. Masyarakat Sumba dari Nusa Tenggara Timur;B. Masyarakat Batak dari Sumatera Utara;C. Masyarakat Jawa dari Yogyakarta;D. Masyarakat Minang dari Sumatera Barat;A. Masyarakat Sumba dari Nusa Tenggara Timur;;;;
;;;;;;;;;;;
;Tradisi Pasola merupakan tradisi perang-perangan di atas kuda yang dilakukan oleh masyarakat …;;;;;;;;;;
32;Perhatikan gambar tradisi berikut ini!;;A. Sumba, Nusa Tenggara Timur;B. Padang, Sumatera Barat;C. Tana Toraja, Sulawesi Selatan;D. Banyuwangi, Jawa Timur ;D. Banyuwangi, Jawa Timur ;;;;
;;;;;;;;;;;
;Tradisi Kebo-keboan adalah tradisi masyarakat yang mengenakan kostum menyerupai kerbau dan membajak. Tradisi ini berasal dari masyarakat …;;;;;;;;;;
33;Perhatikan gambar tradisi berikut ini!;;A. Pegunungan Tengah di Jayawijaya, Papua ;B. Toraja, Sulawesi Selatan;C. Baduy, Lebak Banten. ;D. Banyuwangi, Jawa Timur ;A. Pegunungan Tengah di Jayawijaya, Papua ;;;;
;;;;;;;;;;;
;Tradisi bakar batu adalah cara masyarakat memasak bersama dengan memanaskan batu, kemudian batu digunakan untuk memanggang bahan makanan seperti ubi, daging, dan sayuran. Tradisi ini berasal dari masyarakat …;;;;;;;;;;
34;Perhatikan gambar Ibu kota berikut ini!;;A. Kalimantan Selatan;B. Kalimantan Tengah;C. Kalimantan Timur;D. Kalimantan Barat;C. Kalimantan Timur;;;;
;;;;;;;;;;;
;Ibu Kota Negara (IKN) Nusantara terletak di provinsi …;;;;;;;;;;
35;Perhatikan gambar berikut ini!;;A. Gunung;B. Pantai ;C. Danau;D. Hutan;B. Pantai ;;;;
;;;;;;;;;;;
;Bentang alam yang digunakan untuk wisata air adalah …;;;;;;;;;;
36;Perhatikan gambar berikut ini!;;A. Tanahnya keras;B. Agar mudah dibongkar;C. Menghemat biaya;D. Menghindari banjir;D. Menghindari banjir;;;;
;;;;;;;;;;;
;Rumah panggung dibuat karena …;;;;;;;;;;
37;Indonesia adalah negara kepulauan yang terdiri dari ribuan pulau. Antara satu pulau dengan pulau lainnya dipisahkan oleh perairan yang luas. Pulau-pulau di Indonesia dipisahkan oleh …;;A. Sawah;B. Hutan;C. Laut ;D. Danau;C. Laut ;;;;
;;;;;;;;;;;
;;;;;;;;;;;
